Time,Amplitude
1.06,0.029151141345522016
1.062,0.037994203389502504
1.064,0.03259123708484696
1.066,0.020350894597561616
1.068,0.013146528545364081
1.07,0.019137129667126714
1.072,0.034260382401140745
1.074,0.048512154241469846
1.076,0.05434617458887348
1.078,0.04999797852774026
1.08,0.04231138494029841
1.082,0.04012383304967633
1.084,0.04779744344347499
1.086,0.06131783019793914
1.088,0.0726548457849499
1.09,0.07469497554935668
1.092,0.06764329249555934
1.094,0.05881388444538095
1.096,0.05781163157311636
1.098,0.06759954291667772
1.1,0.08515620837456456
1.102,0.09979242902251798
1.104,0.10645952580096309
1.106,0.10471146461646734
1.108,0.10304147655640568
1.11,0.10930742562047922
1.112,0.12420489589355778
1.114,0.14036256770519426
1.116,0.15332469000272045
1.118,0.1586791631572588
1.12,0.159245391377399
1.122,0.1601490493976433
1.124,0.16479314887180585
1.126,0.17380828900814965
1.128,0.18490695821920833
1.13,0.19347536615533406
1.132,0.19799968308526802
1.134,0.20087583201742323
1.136,0.20421849846633336
1.138,0.21054098080427078
1.14,0.22000178029995143
1.142,0.2295351187388139
1.144,0.23863585366330425
1.146,0.2441794234654554
1.148,0.24783707074847658
1.15,0.25117207651628864
1.152,0.25461271014836967
1.154,0.25902440211396893
1.156,0.266480294746721
1.158,0.2738119799432683
1.16,0.2786439085602414
1.162,0.2799167362399267
1.164,0.2762050669460136
1.166,0.2712520304660748
1.168,0.26907498948125486
1.17,0.2687335180582475
1.172,0.26632156877516466
1.174,0.2552325788050772
1.176,0.23801497784809436
1.178,0.21951310582800526
1.18,0.20730664873103205
1.182,0.2027912308113536
1.184,0.1984044593825323
1.186,0.18732997941480903
1.188,0.16876212316515113
1.19,0.1507731815966228
1.192,0.13869441275178093
1.194,0.13125371250458323
1.196,0.12106710215350029
1.198,0.10387540347100888
1.2,0.08235565327776234
1.202,0.06501250298340729
1.204,0.05666863486850092
1.206,0.05214856151025246
1.208,0.045006199186350515
1.21,0.030951428670187516
1.212,0.01649886339309898
1.214,0.007884002287456773
1.216,0.006038469809883125
1.218,0.004486785617365442
1.22,-0.002695111128556398
1.222,-0.016486713208001668
1.224,-0.028974073114106602
1.226,-0.03456961942855853
1.228,-0.031676113572328746
1.23,-0.029075297277214175
1.232,-0.03208353177006925
1.234,-0.040560392547113924
1.236,-0.04938045924198046
1.238,-0.05034875540259053
1.24,-0.045721361220600776
1.242,-0.03956446768481684
1.244,-0.038154115298809826
1.246,-0.044623358258802384
1.248,-0.05420464770739712
1.25,-0.05934252415272313
1.252,-0.0562088081191079
1.254,-0.047203086319849104
1.256,-0.040282400114845886
1.258,-0.04101815933498389
1.26,-0.04930198320074372
1.262,-0.057800684481933304
1.264,-0.05843781639313167
1.266,-0.051209797538803205
1.268,-0.044601419555932255
1.27,-0.04567810137549565
1.272,-0.0543234122529012
1.274,-0.0633387017302538
1.276,-0.06541531427516264
1.278,-0.05803051336603458
1.28,-0.04748002440466605
1.282,-0.04242656334311342
1.284,-0.045812563566181526
1.286,-0.052958158220935685
1.288,-0.056762545146797294
1.29,-0.05604746405482166
1.292,-0.052188055991020006
1.294,-0.04891363373395916
1.296,-0.04749121211523317
1.298,-0.05037947928391867
1.3,-0.05579320155142034
1.302,-0.06149254906529637
1.304,-0.0629386909178425
1.306,-0.05974312847850516
1.308,-0.05102803202780385
